Instructor Name,Favorite Quote,Type of Exercise,Level of Difficulty,Music w/ Explicit Lyrics,Class Length,Health Impact,Class Name,Class Description
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Evening Yoga Flow,Chelsea designed this yoga sequence to help you end your day on a chill note.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Wrists,This yoga class focuses on poses that allow you to strengthen and work on the mobility of your wrists.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,True,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,15 min,heart rate,Breathwork: Directed Breath,"This class explains the most basic of breathing techniques. It involves consciously breathing into the different regions of the bodythe belly, the chest and the low back. "
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Basics: Seated Baby Cradle,Join this yoga basics class focusing on Seated Baby Cradle. This short class is a perfect tutorial for someone new to yoga or an experienced student seeking to enhance their practice.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,10 min,heart rate,Breathwork,"This class will incorporate a combination of breathwork practices. Breathwork is based on yoga practices known as pranayama which means to regulate the breath as a way to shift physical, mental and subtle energy."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,10 min,heart rate,Breathwork: Alternate Nostril,"This class explains the technique of alternate nostril breathing (in Sanskrit: nadi shodhana)inhaling and exhaling alternately through the right nostril and left nostril in a specific pattern, in order to promote evenness of breath. "
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Figure Four,"This yoga class focuses on and builds towards a ""peak"" pose. In this class, you'll work on figure four."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Focus Flow: Lizard,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on lizard."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,45 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Fire Log Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on fire log pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Grounded Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Standing Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on standing poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Focus Flow: Triangle Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on triangle pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on floor poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Morning Slow Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Focus Flow: Devotional Warrior,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on devotional warrior pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Pigeon Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on pigeon pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Focus Flow: Lotus Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on lotus pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Hamstrings,"This yoga class focuses on poses that engage, strengthen and/or open up the hamstrings."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,5 min,"heart rate, calories",Basics: Thunderbolt Pose,Join this yoga basics class focusing on thunderbolt pose. This short class is a perfect tutorial for someone new to yoga or an experienced student seeking to enhance their practice.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,True,10 min,"heart rate, calories",Focus Flow: Forward Folds,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on forward folds."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Bound Angle Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on bound angle pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Prenatal Slow Flow,"A yoga flow modified for expecting mothers. Please note: if you are pregnant, consult your doctor before participating in this class, or any exercise program."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Morning Slow Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on floor poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Hamstrings,"This yoga class focuses on poses that engage, strengthen and/or open up the hamstrings."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Upper Body,"This yoga class focuses on poses that engage, strengthen and open up the muscles of the upper body."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Wrists,This yoga class focuses on poses that allow you to strengthen and work on the mobility of your wrists.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
